Year,CR_Mammals,CR_Birds,CR_Reptiles,CR_Amphibians,CR_Fishes,CR_Insects,CR_Molluscs,CR_Other_Int,CR_Plants,CR_Fungi&Protists,CR_Total,EN_Mammals,EN_Birds,EN_Reptiles,EN_Amphibians,EN_Fishes,EN_Insects,EN_Molluscs,EN_Other_Int,EN_Plants,EN_Fungi&Protists,EN_Total,VU_Mammals,VU_Birds,VU_Reptiles,VU_Amphibians,VU_Fishes,VU_Insects,VU_Molluscs,VU_Other_Int,VU_Plants,VU_Fungi&Protists,VU_Total
1996,169,168,41,18,157,44,257,57,909,0,1820,315,235,59,31,134,116,212,76,1197,0,2375,612,704,153,75,443,377,451,300,3222,0,6337
2000,180,182,56,25,156,45,222,59,1014,0,1939,340,321,74,38,144,118,237,76,1266,0,2614,610,680,161,83,452,392,479,300,3331,0,6488
2002,181,182,55,30,157,46,222,59,1046,0,1978,339,326,79,37,143,118,236,77,1291,0,2646,617,684,159,90,442,393,481,300,3377,0,6543
2003,184,182,57,30,162,46,250,61,1276,1,2249,337,331,78,37,144,118,243,76,1634,1,2999,609,681,158,90,444,389,474,302,3864,0,7011
2004,162,179,64,413,171,47,265,61,1490,1,2853,352,345,79,729,160,120,221,82,2239,1,4328,587,688,161,628,470,392,488,316,4592,0,8322
2006,162,181,73,442,253,68,265,84,1541,2,3071,348,351,101,738,237,129,222,96,2258,1,4481,583,674,167,631,681,426,488,323,4591,0,8564
2007,163,189,79,441,254,69,268,86,1569,2,3120,349,356,139,737,254,129,224,96,2278,1,4563,582,672,204,630,693,425,486,325,4600,0,8617
2008,188,190,86,475,289,70,268,99,1575,2,3242,448,361,134,755,269,132,224,165,2280,1,4769,505,671,203,675,717,424,486,628,4602,0,8911
2009,188,192,93,484,306,89,291,99,1577,2,3321,449,362,150,754,298,151,245,164,2316,1,4890,505,669,226,657,810,471,500,629,4607,0,9074
2010,188,190,106,486,376,89,373,132,1619,2,3561,450,372,200,758,400,166,328,183,2397,1,5255,493,678,288,654,1075,478,587,568,4708,0,9529
2011,194,189,137,498,414,91,487,132,1731,2,3875,447,382,284,764,477,169,417,183,2564,1,5688,497,682,351,655,1137,481,769,568,4861,0,10001
2012,196,197,144,509,415,119,549,132,1821,2,4084,446,389,296,767,494,207,480,183,2655,1,5918,497,727,367,657,1149,503,828,569,4914,0,10211
2013,196,198,164,520,413,125,553,154,1957,2,4282,447,397,329,783,530,247,486,224,3009,1,6453,500,713,386,647,1167,524,859,650,5099,0,10545
2014,213,213,174,518,443,168,576,205,2119,2,4631,477,419,356,789,587,270,501,307,3231,1,6938,509,741,397,650,1192,555,873,685,5234,0,10836
2015,209,218,180,528,446,176,576,209,2347,5,4894,481,416,361,810,614,305,503,311,3510,11,7322,507,741,403,656,1211,565,871,685,5376,13,11028
2016,204,225,237,546,461,226,586,211,2506,8,5210,464,448,421,852,660,408,513,312,3691,12,7781,526,787,421,670,1238,634,885,695,5446,14,11316
